sample_name,Strain
DGRP_313_SAMN00014255,DGRP_313
DGRP_335_SAMN00014256,DGRP_335
DGRP_358_SAMN00014257,DGRP_358
DGRP_365_SAMN00014259,DGRP_365
DGRP_379_SAMN00014260,DGRP_379
DGRP_380_SAMN00014261,DGRP_380
DGRP_852_SAMN00014262,DGRP_852
DGRP_391_SAMN00014235,DGRP_391
DGRP_514_SAMN00014240,DGRP_514
DGRP_176_SAMN00013679,DGRP_176
DGRP_272_SAMN00013950,DGRP_272
DGRP_398_SAMN00014019,DGRP_398
DGRP_378_SAMN00013987,DGRP_378
DGRP_554_SAMN00014036,DGRP_554
DGRP_591_SAMN00014044,DGRP_591
DGRP_393_SAMN00017018,DGRP_393
DGRP_589_SAMN00017373,DGRP_589
DGRP_309_SAMN00013953,DGRP_309
DGRP_310_SAMN00013954,DGRP_310
DGRP_317_SAMN00013955,DGRP_317
DGRP_318_SAMN00013964,DGRP_318
DGRP_320_SAMN00013958,DGRP_320
DGRP_321_SAMN00013969,DGRP_321
DGRP_338_SAMN00013972,DGRP_338
DGRP_350_SAMN00013975,DGRP_350
DGRP_352_SAMN00013976,DGRP_352
DGRP_392_SAMN00013991,DGRP_392
DGRP_195_SAMN00013940,DGRP_195
DGRP_217_SAMN00013942,DGRP_217
DGRP_21_SAMN00013941,DGRP_21
DGRP_227_SAMN00013943,DGRP_227
DGRP_228_SAMN00013944,DGRP_228
DGRP_233_SAMN00013956,DGRP_233
DGRP_235_SAMN00013946,DGRP_235
DGRP_239_SAMN00013947,DGRP_239
DGRP_256_SAMN00013948,DGRP_256
DGRP_280_SAMN00013951,DGRP_280
DGRP_287_SAMN00013952,DGRP_287
DGRP_101_SAMN00013469,DGRP_101
DGRP_105_SAMN00013467,DGRP_105
DGRP_370_SAMN00013979,DGRP_370
DGRP_129_SAMN00013471,DGRP_129
DGRP_38_SAMN00030536,DGRP_38
DGRP_136_SAMN00013480,DGRP_136
DGRP_377_SAMN00017370,DGRP_377
DGRP_367_SAMN00013978,DGRP_367
DGRP_359_SAMN00017015,DGRP_359
