Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,strain,run_center (run),run_machine_id (run),AssemblyName,source_of_DNA,read_mask (run)
SRR018517,WGS,90,817426530,PRJNA36679,SAMN00014255,399763922,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006275,Illumina Genome Analyzer,IWG_DGRP.DMEL.AG_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-08T00:00:00Z,BCM-DGRP313,SRP000694,DGRP-313,BCM,,,,
SRR018518,WGS,72,341203536,PRJNA36679,SAMN00014255,168209943,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006276,Illumina Genome Analyzer,IWG_DGRP.DMEL.AG_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP313,SRP000694,DGRP-313,BCM,,,,
SRR018519,WGS,75,1051728225,PRJNA36679,SAMN00014255,629738534,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006277,Illumina Genome Analyzer,IWG_DGRP.DMEL.AG_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-08T00:00:00Z,BCM-DGRP313,SRP000694,DGRP-313,BCM,,,,10
SRR018521,WGS,90,1930574880,PRJNA36679,SAMN00014256,1416917780,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006278,Illumina Genome Analyzer,IWG_DGRP.DMEL.33_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP335,SRP000694,DGRP-335,BCM,,,,
SRR018522,WGS,90,792753030,PRJNA36679,SAMN00014256,380795294,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006279,Illumina Genome Analyzer,IWG_DGRP.DMEL.33_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-22T00:00:00Z,BCM-DGRP335,SRP000694,DGRP-335,BCM,,,,
SRR018523,WGS,45,423327240,PRJNA36679,SAMN00014256,293460950,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006280,Illumina Genome Analyzer,IWG_DGRP.DMEL.33_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-07T00:00:00Z,BCM-DGRP335,SRP000694,DGRP-335,BCM,,,,10
SRR018574,WGS,150,1023061650,PRJNA36679,SAMN00014257,626101214,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006282,Illumina Genome Analyzer,IWG_DGRP.DMEL.AL_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-11-23T00:00:00Z,BCM-DGRP358,SRP000694,DGRP-358,BCM,,,,
SRR018575,WGS,75,1057427625,PRJNA36679,SAMN00014257,636141608,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006283,Illumina Genome Analyzer,IWG_DGRP.DMEL.AL_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-11-23T00:00:00Z,BCM-DGRP358,SRP000694,DGRP-358,BCM,,,,10
SRR018579,WGS,90,827774820,PRJNA36679,SAMN00014259,559052783,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006289,Illumina Genome Analyzer,IWG_DGRP.DMEL.AO_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,,,,
SRR018580,WGS,150,1514636400,PRJNA36679,SAMN00014259,943249434,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006290,Illumina Genome Analyzer,IWG_DGRP.DMEL.AO_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,,,,
SRR018581,WGS,75,944103300,PRJNA36679,SAMN00014259,578969961,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006291,Illumina Genome Analyzer,IWG_DGRP.DMEL.AO_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-09T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,,,,10
SRR018582,WGS,90,855313200,PRJNA36679,SAMN00014260,572915101,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006292,Illumina Genome Analyzer,IWG_DGRP.DMEL.AQ_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP379,SRP000694,DGRP-379,BCM,,,,
SRR018583,WGS,75,457730325,PRJNA36679,SAMN00014260,280863821,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006293,Illumina Genome Analyzer,IWG_DGRP.DMEL.AQ_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-08-24T00:00:00Z,BCM-DGRP379,SRP000694,DGRP-379,BCM,,,,10
SRR018584,WGS,75,929495025,PRJNA36679,SAMN00014260,566305071,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006293,Illumina Genome Analyzer,IWG_DGRP.DMEL.AQ_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-08-24T00:00:00Z,BCM-DGRP379,SRP000694,DGRP-379,BCM,,,,10
SRR018591,WGS,148,1486859800,PRJNA36679,SAMN00014261,1073314948,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006300,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,
SRR018592,WGS,150,1528571700,PRJNA36679,SAMN00014261,1084138902,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006300,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,
SRR018593,WGS,150,1545400500,PRJNA36679,SAMN00014261,1095428057,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006300,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-22T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,
SRR018594,WGS,45,22727880,PRJNA36679,SAMN00014261,16165458,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006301,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-07T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,10
SRR018595,WGS,75,418690650,PRJNA36679,SAMN00014261,253515761,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006302,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-07T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,10
